"Country","iso3","Year","control","Progress","Aspirational","Business as usual","p_change","a_change","aroc","model","wb2021","location","ref","asp","reach_base","refwsalt","aspwsalt","reach_75","reach_975","aroc2","p_change2","a_change2","ideal"
"Cambodia","KHM",2019,0.215004171255833,0.215004171255833,0.215004171255833,0.215004171255833,0,0,0,"6","LMIC","Cambodia",0,0,Inf,2036,2030,2039,2030,0,0,0,0
"Cameroon","CMR",2017,0.0641834638169576,0.0641834638169576,0.0641834638169576,0.0641834638169576,0,0,0,"9","LMIC","Cameroon",0,0,Inf,2043,2036,2045,2037,0,0,0,0
"Cameroon","CMR",2018,0.0683834164302078,0.0683834164302078,0.0683834164302078,0.0683834164302078,0,0,0,"9","LMIC","Cameroon",0,0,Inf,2043,2036,2045,2037,0,0,0,0
"Cameroon","CMR",2019,0.0729975148898556,0.0729975148898556,0.0729975148898556,0.0729975148898556,0,0,0,"9","LMIC","Cameroon",0,0,Inf,2043,2036,2045,2037,0,0,0,0
"Canada","CAN",2017,0.607085966638123,0.607085966638123,0.607085966638123,0.607085966638123,0,0,0,"1","HIC","Canada",0,0,2017,2017,2017,2017,2017,0,0,0,0
"Canada","CAN",2018,0.605894468854522,0.605894468854522,0.605894468854522,0.605894468854522,0,0,0,"1","HIC","Canada",0,0,2017,2017,2017,2017,2017,0,0,0,0
"Canada","CAN",2019,0.604678077042713,0.604678077042713,0.604678077042713,0.604678077042713,0,0,0,"1","HIC","Canada",0,0,2017,2017,2017,2017,2017,0,0,0,0
"Central African Republic","CAF",2017,0.0478854688079978,0.0478854688079978,0.0478854688079978,0.0478854688079978,0,0,0,"9","LIC","Central African Republic",0,0,Inf,2045,2038,2047,2038,0,0,0,0
"Central African Republic","CAF",2018,0.0514582449348786,0.0514582449348786,0.0514582449348786,0.0514582449348786,0,0,0,"9","LIC","Central African Republic",0,0,Inf,2045,2038,2047,2038,0,0,0,0
"Central African Republic","CAF",2019,0.0554964567645268,0.0554964567645268,0.0554964567645268,0.0554964567645268,0,0,0,"9","LIC","Central African Republic",0,0,Inf,2045,2038,2047,2038,0,0,0,0
"Chad","TCD",2017,0.0950104446874223,0.0950104446874223,0.0950104446874223,0.0950104446874223,0,0,0,"9","LIC","Chad",0,0,Inf,2041,2034,2043,2035,0,0,0,0
"Chad","TCD",2018,0.101962613246195,0.101962613246195,0.101962613246195,0.101962613246195,0,0,0,"9","LIC","Chad",0,0,Inf,2041,2034,2043,2035,0,0,0,0
